Combined Feature,Weight,Class,Feature,l1,l2,dist,dist_pix,a,angl
variance_test_dist_5_angl_1,-0.056007674542347,Class 0,variance,test,dist,5,2,angl,1
ASM_test_dist_5_angl_4,-0.039655042790556,Class 0,ASM,test,dist,5,2,angl,4
entropy_test_dist_5_angl_3,-0.033943481532394,Class 0,entropy,test,dist,5,2,angl,3
std_test_dist_5_angl_2,-0.024458495127635,Class 0,std,test,dist,5,2,angl,2
dissimilarity_test_dist_5_angl_1,-0.022233028688918,Class 0,dissimilarity,test,dist,5,2,angl,1
entropy_test_dist_5_angl_4,-0.015931275090826,Class 0,entropy,test,dist,5,2,angl,4
dissimilarity_test_dist_5_angl_2,-0.010834483287864,Class 0,dissimilarity,test,dist,5,2,angl,2
energy_test_dist_5_angl_1,-0.007375478801564,Class 0,energy,test,dist,5,2,angl,1
homogeneity_test_dist_5_angl_3,0.005900480459704,Class 0,homogeneity,test,dist,5,2,angl,3
homogeneity_test_dist_5_angl_4,0.014972583218405,Class 0,homogeneity,test,dist,5,2,angl,4
homogeneity_test_dist_5_angl_1,0.038917442719937,Class 0,homogeneity,test,dist,5,2,angl,1
std_test_dist_5_angl_3,0.041469094689174,Class 0,std,test,dist,5,2,angl,3
contrast_test_dist_5_angl_3,0.043603271704602,Class 0,contrast,test,dist,5,2,angl,3
contrast_test_dist_5_angl_1,0.054490446924868,Class 0,contrast,test,dist,5,2,angl,1
dissimilarity_test_dist_5_angl_3,0.055027447430229,Class 0,dissimilarity,test,dist,5,2,angl,3
std_test_dist_5_angl_1,0.064863690171219,Class 0,std,test,dist,5,2,angl,1
homogeneity_test_dist_5_angl_2,0.070137222431273,Class 0,homogeneity,test,dist,5,2,angl,2
std_test_dist_5_angl_4,0.07064073583488,Class 0,std,test,dist,5,2,angl,4
correlation_test_dist_5_angl_3,0.090729868854866,Class 0,correlation,test,dist,5,2,angl,3
dissimilarity_test_dist_5_angl_4,0.09501682902635,Class 0,dissimilarity,test,dist,5,2,angl,4
contrast_test_dist_5_angl_2,0.103583873684368,Class 0,contrast,test,dist,5,2,angl,2
ASM_test_dist_5_angl_2,0.131054868278823,Class 0,ASM,test,dist,5,2,angl,2
energy_test_dist_5_angl_4,0.155413868709445,Class 0,energy,test,dist,5,2,angl,4
entropy_test_dist_5_angl_2,0.158636216122796,Class 0,entropy,test,dist,5,2,angl,2
mean_test_dist_5_angl_1,0.340229362604546,Class 0,mean,test,dist,5,2,angl,1
variance_test_dist_5_angl_3,0.343741363817218,Class 0,variance,test,dist,5,2,angl,3
correlation_test_dist_5_angl_2,1.04030201621956,Class 0,correlation,test,dist,5,2,angl,2
contrast_test_dist_6_angl_4,-0.714409163239796,Class 0,contrast,test,dist,6,4,angl,4
variance_test_dist_6_angl_3,-0.560293384451653,Class 0,variance,test,dist,6,4,angl,3
correlation_test_dist_6_angl_1,-0.495836074862344,Class 0,correlation,test,dist,6,4,angl,1
variance_test_dist_6_angl_1,-0.180381503798293,Class 0,variance,test,dist,6,4,angl,1
variance_test_dist_6_angl_2,-0.150153306190213,Class 0,variance,test,dist,6,4,angl,2
contrast_test_dist_6_angl_1,-0.144441551087041,Class 0,contrast,test,dist,6,4,angl,1
contrast_test_dist_6_angl_2,-0.140461582964005,Class 0,contrast,test,dist,6,4,angl,2
ASM_test_dist_6_angl_1,-0.107908258503925,Class 0,ASM,test,dist,6,4,angl,1
energy_test_dist_6_angl_2,-0.10524895205403,Class 0,energy,test,dist,6,4,angl,2
entropy_test_dist_6_angl_1,-0.097341283750933,Class 0,entropy,test,dist,6,4,angl,1
std_test_dist_6_angl_2,-0.090119727598639,Class 0,std,test,dist,6,4,angl,2
mean_test_dist_6_angl_3,-0.07972839735041,Class 0,mean,test,dist,6,4,angl,3
variance_test_dist_6_angl_4,-0.058961206167372,Class 0,variance,test,dist,6,4,angl,4
ASM_test_dist_6_angl_4,-0.056343133388574,Class 0,ASM,test,dist,6,4,angl,4
energy_test_dist_6_angl_1,-0.04631936178444,Class 0,energy,test,dist,6,4,angl,1
entropy_test_dist_6_angl_4,-0.035453266813297,Class 0,entropy,test,dist,6,4,angl,4
dissimilarity_test_dist_6_angl_2,-0.018528368363888,Class 0,dissimilarity,test,dist,6,4,angl,2
correlation_test_dist_6_angl_3,-0.015929702467826,Class 0,correlation,test,dist,6,4,angl,3
dissimilarity_test_dist_6_angl_1,-0.011030377616351,Class 0,dissimilarity,test,dist,6,4,angl,1
entropy_test_dist_6_angl_2,0.002741332212437,Class 0,entropy,test,dist,6,4,angl,2
correlation_test_dist_6_angl_4,0.003654959723964,Class 0,correlation,test,dist,6,4,angl,4
ASM_test_dist_6_angl_2,0.005705260345768,Class 0,ASM,test,dist,6,4,angl,2
std_test_dist_6_angl_1,0.006247676298178,Class 0,std,test,dist,6,4,angl,1
std_test_dist_6_angl_3,0.017535163924137,Class 0,std,test,dist,6,4,angl,3
std_test_dist_6_angl_4,0.039872663675273,Class 0,std,test,dist,6,4,angl,4
homogeneity_test_dist_6_angl_3,0.043522201951948,Class 0,homogeneity,test,dist,6,4,angl,3
homogeneity_test_dist_6_angl_1,0.052587015154843,Class 0,homogeneity,test,dist,6,4,angl,1
dissimilarity_test_dist_6_angl_3,0.054891463020067,Class 0,dissimilarity,test,dist,6,4,angl,3
mean_test_dist_6_angl_4,0.066047053982754,Class 0,mean,test,dist,6,4,angl,4
energy_test_dist_6_angl_3,0.085354929705688,Class 0,energy,test,dist,6,4,angl,3
homogeneity_test_dist_6_angl_2,0.092042675971624,Class 0,homogeneity,test,dist,6,4,angl,2
