name,d,a,Dist_pix,Angle_rad,ROC_precise,ROC,bias,ASM,contrast,correlation,dissimilarity,energy,entropy,homogeneity,mean,std,variance
n_t_d_4_a_3_SVM_C_1_k_linear,[5],[0.78539816],5,0.78539816,0.738233738762559,0.74,-0.046145655080907,-0.04518424821395,-0.472259361829576,0.674959820334111,0.900072653519231,-0.254350894255151,-0.00506435131374,0.312447045221141,-1.67752311562649,2.22301291807463,-0.75957506794188
n_t_d_9_a_3_SVM_C_1_k_linear,[6],[0.78539816],6,0.78539816,0.738762559492332,0.74,-0.046145655080907,-0.04518424821395,-0.472259361829576,0.674959820334111,0.900072653519231,-0.254350894255151,-0.00506435131374,0.312447045221141,-1.67752311562649,2.22301291807463,-0.75957506794188
n_t_d_7_a_1_SVM_C_1_k_linear,[3],[0],3,0,0.739291380222105,0.74,-0.089271308438502,0.058896544087123,-0.473483612991754,1.0953138116815,1.35244694322825,-0.145440901737859,-0.331703447259916,-0.297835132809658,-2.21894596762667,1.79865706662004,-0.4837296699905
n_t_d_5_a_1_SVM_C_1_k_linear,[2],[0],2,0,0.74034902168165,0.74,-0.106237194235713,0.055291779544306,-0.375746726632459,1.07911114195328,1.21513145847635,-0.202889274770818,-0.329464169768854,-0.19982515728147,-2.13942887439555,1.77154057976024,-0.482704952455915
n_t_d_1_a_3_SVM_C_1_k_linear,[1],[0.78539816],1,0.78539816,0.74246430460074,0.74,-0.085296672821024,0.020905688795134,-0.026276720576382,0.858874537582873,0.625559295046134,-0.317762971702221,-0.138881341721442,0.057302212388066,-1.8449578532473,2.2647815239943,-0.912535960821827
n_t_d_5_a_3_SVM_C_1_k_linear,[2],[0.78539816],2,0.78539816,0.74246430460074,0.74,-0.085296672821024,0.020905688795134,-0.026276720576382,0.858874537582873,0.625559295046134,-0.317762971702221,-0.138881341721442,0.057302212388066,-1.8449578532473,2.2647815239943,-0.912535960821827
n_t_d_15_a_2_SVM_C_1_k_linear,[13],[1.57079633],13,1.57079633,0.744050766790058,0.74,-0.121428777940427,-0.097580864458669,0.433064723774864,0.869780323727258,0.834336835730437,-0.356287473533171,-0.267097842002185,0.394763066648697,-1.51288759616478,1.52387906270534,-1.12617760384732
n_t_d_16_a_2_SVM_C_1_k_linear,[14],[1.57079633],14,1.57079633,0.745637228979376,0.75,-0.118629029962506,-0.044596841351959,0.288059630904606,0.81250308776814,0.919622200972479,-0.370595292759135,-0.375851824427234,0.280441437555878,-1.48361071643217,1.54799874472805,-1.0858538611927
n_t_d_1_a_2_SVM_C_1_k_linear,[1],[1.57079633],1,1.57079633,0.746166049709149,0.75,-0.086292813640742,0.055907850027892,0.874567928033417,0.916195647797116,0.238723302377397,-0.149111324145283,0.420789950960578,0.626487041444351,-1.25339734140343,1.65761880869368,-1.36080023854783
n_t_d_8_a_2_SVM_C_1_k_linear,[15],[1.57079633],15,1.57079633,0.746694870438921,0.75,-0.135037724078141,-0.045590189185526,0.137782345263405,0.805415676596698,1.06772776872165,-0.379651481683568,-0.560289636788241,0.125620713628064,-1.57070981866348,1.54806019363842,-0.997227840152274
n_t_d_6_a_3_SVM_C_1_k_linear,[4],[0.78539816],4,0.78539816,0.747223691168694,0.75,-0.067205232577924,0.052281727066051,-0.321146238472922,0.798385151740315,0.814850425907092,-0.258243542305269,-0.06242427537521,0.101718326835813,-1.76733426151194,2.21801619860719,-0.814372114657383
n_t_d_7_a_3_SVM_C_1_k_linear,[3],[0.78539816],3,0.78539816,0.747752511898467,0.75,-0.078940155157338,0.03777000107231,-0.171040019654529,0.886835099987623,0.750883247088862,-0.284900487068235,-0.085001806171344,0.07883220137451,-1.83393639980291,2.19466768692765,-0.854392197437417
n_t_d_14_a_2_SVM_C_1_k_linear,[12],[1.57079633],12,1.57079633,0.748810153358012,0.75,-0.18011256760135,-0.11945230669882,0.680539988091816,0.989473091409995,0.630191304170446,-0.363844274135279,-0.111559747494864,0.494310552177025,-1.4528547033699,1.44849253468262,-1.22196843191337
